anclar	C2
anclarse	C2
anda	C1
andaluza	B1
andamio	C1
andando	A1
andar	A2
andarse	C2
andén	B1
anecdótica	C2
anecdótico	C1
anegado	C2
anegar	C2
anemia	C1
anestesiar	B2
anestesista	B2
anfibio	C2
anfitrión	C1
anglicana	B1
angular	C1
anguloso	C2
angustia	B2
angustiarse	C2
angustiosa	C2
anhídrido	C2
anillo	B1
animada	C1
animado	B2
animal	A1
animar	C2
aniquilar	C2
aniversario	B1
anoche	B1
anochecer	B2
anomalía	C2
anorak	B2
anorexia	C1
anormal	B2
anormalidad	C1
ansiedad	B2
antagonista	C2
antaño	C2
ante	B2
anteanoche	C2
anteayer	B1
antecedente	C1
antecesor	C1
antediluviano	C2
antefirma	C1
antelación	C1
antena	C1
antepasado	C1
antepasados	C1
antepenúltimo	C1
anterior	B2
anterioridad	C1
anteriormente	B2
antes	A1
antesala	C2
antibiótico	B1
anticaspa	C1
anticelulítica	C1
anticiclón	B2
anticipación	C1
anticipadamente	C1
anticipado	C1
anticipar	C1
anticipo	B2
anticuado	C1
antiestético	C1
antigua	A2
antigualla	C2
antiguamente	B2
antiguo	A2
antiguos	B2
antigüedad	C1
antiinflamatorio	B2
antiniebla	C1
antioxidante	C2
antipiojos	C1
antipirético	C2
antipático	A1
antivirus	B1
antológica	C1
antártico	C2
anual	B2
anualmente	B2
anular	C1
anunciante	C1
anunciar	B2
anuncio	A2
anuncios	A2
anverso	C2
análisis	B1
anécdota	B2
anómalo	C2
anónima	C1
apacible	C2
apaga	C2
apagada	C1
apagar	B1
apagarse	B2
apaisado	C2
apalabrar	C2
aparato	C1
aparcado	B2
aparcamiento	A1
aparcar	B1
aparearse	C1
aparecer	B1
aparejador	B2
aparejo	C2
aparentar	B2
aparente	C1
aparentemente	B2
aparición	C1
apariencia	C1
apartado	C1
apartamento	A1
apartar	B2
aparte	C1
apartotel	C1
apasionado	B2
apasionamiento	C1
apasionante	C1
apego	C2
apelación	C2
apelar	C2
apellidarse	A2
apellido	A1
apenado	B2
apenas	C1
aperitivo	A2
apero	C2
apertura	C1
apestar	C1
apestoso	C1
apetito	C1
apetitoso	C1
apilar	C2
aplacar	C2
aplastado	C1
aplastante	C1
aplastar	C1
aplaudir	B2
aplauso	B2
aplazamiento	C1
aplazar	C1
aplicación	C1
aplicado	C2
aplicar	C1
aplicarse	C2
apodo	C2
aportar	C1
aposento	C2
apostar	B2
apostilla	C2
apostillar	C2
apoteósico	C1
apoyado	C1
apoyar	B2
apoyo	B2
apreciable	C2
apreciación	C1
apreciar	C1
aprecio	C2
apremiante	C2
aprender	A1
aprendiz	C1
aprendizaje	B2
apretado	B2
apretar	C2
apretarse	C2
aprobación	C1
aprobar	B2
apropiado	B2
aprovechable	C1
aprovechamiento	C2
aprovechar	B2
aproximación	C1
aproximada	B2
aproximado	B2
aproximar	B2
aproximarse	B2
aptitud	C1
apto	C2
apuesto	C1
apuntar	C1
apuntarse	B2
apuntes	B1
apurada	C2
apuro	C2
aquí	A1
arado	C2
arancel	C2
arar	C2
araña	A2
arañar	B2
arañazo	C2
arbitrario	C2
arbusto	B2
arcaico	C1
arcaísmo	C2
archivador	C1
archivar	B1
arco	B2
arcoíris	B2
arcén	C1
arder	C1
ardor	C1
arduo	C2
arena	B1
arenoso	C1
argumentación	C1
argumento	B2
argüir	C2
aridez	C2
arista	C2
aristocracia	C1
aristócrata	C1
arma	C1
armada	B2
armadas	C2
armador	C2
armar	C2
armario	A1
armoniosamente	B2
armonioso	C1
armonía	B2
arnés	C2
aroma	B2
aromático	C1
arqueado	C2
arquear	C1
arquetipo	C2
arquitecto	A2
arquitectura	B1
arquitectónico	B2
arrabal	C2
arrancar	B2
arranque	C2
arrasar	C2
arrastrar	B2
arrebatadora	C2
arreciar	C2
arreglar	B1
arreglo	B2
arrendador	C2
arrendatario	C2
arrepentirse	C1
arresto	C1
arriba	B2
arriesgada	C1
arrimar	C2
arrimarse	C1
arrinconar	C2
arroba	C2
arrogancia	B2
arrogante	B1
arrojar	C1
arrolladora	C2
arrolladoramente	C2
arroyo	C2
arroz	A2
arruga	B2
arrugada	C1
arrugado	B2
arrugar	C1
arrugas	B2
arruinado	C1
arruinarse	C1
arte	C2
arteria	B2
artes	B2
articulación	B2
articular	C2
articulista	C2
artificial	B2
artillería	C2
artista	A2
artículo	B2
artística	B2
artístico	B1
arzobispo	C1
as	C2
asada	B2
asalariado	C1
asaltar	C1
asalto	C1
asar	B1
asarse	C2
ascender	C1
ascendiente	C2
ascenso	C1
ascensor	A1
ascensorista	C2
asco	B2
asear	C1
asediar	C2
asedio	C2
asegurar	B2
asentamiento	C2
aseo	C1
aseos	B1
asepsia	C2
asequible	C1
aserción	C2
asesinar	B2
asesinato	B2
asesino	B1
aseveración	C2
aseverar	C2
asfaltado	C2
asfaltar	C2
asfixiante	C1
asia	B1
asiduamente	C2
asiduo	C2
asiento	B1
asientos	C1
asignatura	B1
asilo	C1
asimilar	C1
asir	C2
asistencia	B2
asistente	B2
asistir	B2
asmática	C2
asociación	B2
asociar	C1
asociarse	C1
asolar	C2
asombrarse	C1
asombroso	C1
asonancia	C2
asonante	C2
aspecto	B2
aspiraciones	C1
aspiración	C1
aspirante	C1
aspirar	C1
aspirina	B1
asqueroso	B2
asterisco	C1
astigmatismo	C2
astracán	C2
astral	C2
astro	C1
astrofísica	C2
astrología	B2
astronauta	B1
astronomía	B2
astronómico	C2
astrónomo	B2
astuto	C1
asueto	C2
asumir	C1
asunto	B2
asustado	B1
asustarse	B2
atacar	B2
atajar	C1
ataque	B2
atar	C2
atardecer	B2
atasco	B1
ataúd	C2
atención	B2
atender	B1
ateneo	C2
atenerse	C1
atentado	B1
atentamente	B2
atentar	B2
atento	B2
atenuar	C2
ateo	B1
aterrizar	B1
aterrorizado	C2
atestiguar	C2
ateísmo	B2
atiborrarse	C2
atinado	C2
atletismo	B1
atlántico	B1
atmósfera	B1
atontado	C1
atosigar	C2
atracar	C2
atracción	C1
atraco	B2
atractivo	B2
atraer	C1
atrapado	C2
atraso	C1
atravesado	C1
atravesar	B2
atrayente	C1
atrevido	C1
atronador	C2
atropelladamente	C2
atropellado	C2
atroz	C2
atrás	C1
ats	C1
atuendo	C2
atufar	C2
atómica	C1
atómicos	B2
atún	A2
audición	B2
audiencia	C1
audioconferencia	B2
audiovisual	B2
auditivo	C1
auditorio	C1
augurar	C2
aula	A2
aullar	C2
aullido	C2
aumentar	B1
aumento	B2
aunar	C2
aureola	C2
auricular	C1
aurresku	C2
ausencia	B2
ausentarse	C1
ausente	B2
austera	C1
austeridad	C1
austero	C1
autobús	A1
autoevaluación	B2
automática	C1
automóvil	C1
autonómica	C2
autonómicas	B2
autonómico	C1
autopista	B1
autor	B2
autorizado	C2
autoservicio	B2
autovía	B2
autóctona	B2
autónomo	C1
auxiliar	B1
auxilio	C1
aval	C2
avalancha	C2
avalar	C2
avalista	C2
avance	C1
avanzada	C2
avanzar	B2
ave	B1
avecinarse	C2
avejentado	C2
avellanas	B2
avena	C2
avenencia	C2
avenida	A1
avenirse	C2
aventajado	C2
aventajar	C2
aventura	C1
aventurero	C2
avergonzado	B2
avergonzarse	B2
averiarse	B2
aversión	C2
avería	C1
aves	C1
aviación	C2
aviador	C1
avinagrado	C2
avioneta	C1
avisar	B2
aviso	B2
avión	C1
axioma	C2
ayer	A1
ayuda	B1
ayudante	B1
ayudar	B1
ayunar	B2
ayuntamiento	A2
azada	C2
azafata	A2
azaroso	C2
azotar	C2
azotea	C2
azul	A1
azulejo	C2
azulejos	C2
azules	A1
azúcar	A2
aéreas	C2
aéreo	B2
añadir	B2
añejo	C2
año	A1
años	A1
aún	B2
babor	C2
bacalao	B2
bache	B2
bachillerato	B1
bacteria	C2
bacterias	C2
bahía	C1
bailaor	C1
bailar	C1
bailarín	B1
baile	B1
bailotear	C2
baja	C1
bajada	B1
bajar	A2
bajarse	B1
bajas	C1
bajo	A1
bala	B2
balada	C1
balancearse	C1
balbucir	C2
baldosa	C2
ballet	B1
balneario	B2
balón	B1
banca	C1
bancaria	C1
bancarrota	C2
banco	A1
banda	B2
bandera	B2
banderín	C2
banquero	C1
banquete	B2
bar	A1
baraja	C2
barajar	B2
barata	C1
barato	A1
barba	A1
barbaridad	C1
barbilampiño	C2
barbilla	B2
barco	B1
barman	B2
barnizado	C1
barnizar	C1
barquero	C2
barra	A2
barranco	C2
barrer	B1
barrica	C2
barricada	C2
barriga	B1
barrio	A2
barro	B2
barroca	B2
barroco	B2
barullo	C2
basarse	B2
base	B2
